,precision,recall,f1-score,support
Citrus Canker,0.9782608695652174,0.9574468085106383,0.967741935483871,94.0
Red Rust,0.978494623655914,0.9680851063829787,0.9732620320855615,94.0
Anthracnose,0.967391304347826,0.9368421052631579,0.9518716577540107,95.0
Spiraling Whitefly,0.9894736842105263,1.0,0.9947089947089947,94.0
Healthy,0.9263157894736842,0.9361702127659575,0.9312169312169313,94.0
Algal Spot,0.8888888888888888,0.9263157894736842,0.9072164948453608,95.0
accuracy,0.9540636042402827,0.9540636042402827,0.9540636042402827,0.9540636042402827
macro avg,0.9548041933570094,0.9541433370660695,0.9543363410157882,566.0
weighted avg,0.9547099739339048,0.9540636042402827,0.954248735840113,566.0
