accuracy,loss,val_accuracy,val_loss,learning_rate
0.24714739620685577,2.6598334312438965,0.6992108821868896,0.671596109867096,0.0010000000474974513
0.8037198185920715,0.5893034934997559,0.8264207243919373,0.43345096707344055,0.0010000000474974513
0.8268983960151672,0.6476267576217651,0.905640184879303,0.3093811869621277,0.0010000000474974513
0.8480420708656311,0.46531417965888977,0.8924573063850403,0.3053601086139679,0.0010000000474974513
0.7827871441841125,0.5191470980644226,0.9028567671775818,0.27970653772354126,0.0010000000474974513
0.8227315545082092,0.5089166164398193,0.8968617916107178,0.277232825756073,0.0010000000474974513
0.8154363632202148,0.4421575665473938,0.8982993960380554,0.26399219036102295,0.0010000000474974513
0.793822705745697,0.5103914737701416,0.9224322438240051,0.23034009337425232,0.0010000000474974513
0.815920889377594,0.474997341632843,0.914449155330658,0.24933341145515442,0.0010000000474974513
0.8229849338531494,0.38020554184913635,0.9193124175071716,0.2617610692977905,0.0010000000474974513
0.8140338659286499,0.4961579144001007,0.9064965844154358,0.2593734562397003,0.0010000000474974513
0.8267377018928528,0.49851882457733154,0.9131033420562744,0.2487681359052658,0.0005000000237487257
0.8540163636207581,0.3323488235473633,0.9066495299339294,0.24972349405288696,0.0005000000237487257
0.8510267734527588,0.46770140528678894,0.9246956706047058,0.2208099067211151,0.0005000000237487257
0.9173513054847717,0.29686614871025085,0.9224016666412354,0.21964216232299805,0.0005000000237487257
0.7086508870124817,0.8292979001998901,0.9573928117752075,0.12597936391830444,9.999999747378752e-05
0.9192751049995422,0.20320767164230347,0.9641218781471252,0.10549496114253998,9.999999747378752e-05
0.9392022490501404,0.15501660108566284,0.9549764394760132,0.11629467457532883,9.999999747378752e-05
0.967490553855896,0.09554505348205566,0.9698415398597717,0.12052512168884277,9.999999747378752e-05
0.9704703092575073,0.10470525920391083,0.9599926471710205,0.14304226636886597,9.999999747378752e-05
0.9818602800369263,0.06651189923286438,0.969321608543396,0.12466152757406235,4.999999873689376e-05
0.9584777355194092,0.11877486854791641,0.9638771414756775,0.12447880208492279,4.999999873689376e-05
0.9902417659759521,0.057126451283693314,0.9675781726837158,0.12405554950237274,4.999999873689376e-05
0.9884107112884521,0.03554815053939819,0.9678228497505188,0.13017980754375458,2.499999936844688e-05
